model,horizon,selection_method,weighting_scheme,rebalance_frequency,turnover_cap,gross_return,net_return,sharpe,max_drawdown,turnover,annualized_volatility,return_per_unit_turnover,mean_IC,quantile_spread
tree,20,decile,signal,10,True,-0.0028865292586992553,-0.005279637010600968,-0.05826409063761874,-0.3108370675959278,0.019075691158849228,0.09061562538473951,-0.2767730388710839,0.01021951979489251,-0.0017791915761458802
ranker,20,decile,signal,5,False,-0.003554206050402242,-0.0051267235953189605,-0.059168170984763686,-0.30316760697124334,0.012530049579479351,0.08664664649916483,-0.40915429446624635,0.03084095064210951,0.002567897834511522
ranker,20,decile,signal,10,True,-0.004761630884199786,-0.0056192426122063655,-0.0649885429271044,-0.30047673647588735,0.006842255427981782,0.08646512691489779,-0.821255896005601,0.03084095064210951,0.002567897834511522
ranker,10,decile,signal,1,False,-0.001839665051635686,-0.008419166717876791,-0.09659944559241458,-0.31854577834197684,0.05248316730468361,0.08715543517092299,-0.16041651352709926,0.028483120471291725,0.0027379479648458422
ranker,10,decile,signal,1,True,-0.0018585553555940937,-0.008435496694095268,-0.09678743368304517,-0.31854577834197584,0.05246402500186637,0.0871548751020657,-0.16078630440182928,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,equal,1,False,-0.005188794039274414,-0.00525838583024596,-0.09852761060215312,-0.16068480670383412,0.0005555555555555556,0.05336966763031446,-9.465094494442727,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,equal,5,False,-0.005188794039274414,-0.00525838583024596,-0.09852761060215312,-0.16068480670383412,0.0005555555555555556,0.05336966763031446,-9.465094494442727,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,equal,10,False,-0.005188794039274414,-0.00525838583024596,-0.09852761060215312,-0.16068480670383412,0.0005555555555555556,0.05336966763031446,-9.465094494442727,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,equal,1,True,-0.005248749356826843,-0.0053182571167275094,-0.09965364893008125,-0.1606848067038329,0.0005555555555555556,0.053367409761973614,-9.572862810109518,0.028483120471291725,0.0027379479648458422
ranker,10,quintile,equal,5,True,-0.005339691305838001,-0.005409305213755045,-0.10142229791066851,-0.16068480670383523,0.0005555555555555556,0.053334476985716625,-9.736749384759081,0.028483120471291725,0.0027379479648458422
ranker,20,quintile,equal,1,False,-0.005428973221184075,-0.005498936883895134,-0.10302912069373443,-0.16068480670383412,0.0005586592178770949,0.053372646945530455,-9.843097022172289,0.03084095064210951,0.002567897834511522
